competitor_id,name,country,country_code,abbreviation
37637,"Zeballos, Federico",Bolivia,BOL,ZEB
54609,"Arias, Boris",Bolivia,BOL,ARI
69910,"Bergevi, Filip",Sweden,SWE,BER
25458,"Martinez, Luis David",Venezuela,VEN,MAR
42151,"Nam, Ji Sung",Republic of Korea,KOR,NAM
90080,"Khachanov, Karen",Neutral,No value,KHA
16573,"Demoliner, Marcelo",Brazil,BRA,DEM
234044,"Kirkov, Vasil",USA,USA,KIR
44637,"Rodriguez, Cristian",Colombia,COL,ROC
46391,"Struff, Jan-Lennard",Germany,DEU,STR
134610,"Blumberg, William",USA,USA,BLU
296270,"Stevenson, David",Great Britain,GBR,STE
111607,"Ingildsen, Johannes",Denmark,DNK,ING
263917,"Draxl, Liam",Canada,CAN,DRA
146040,"Gomez, Federico Agustin",Argentina,ARG,GOM
58877,"Ramanathan, Ramkumar",India,IND,RAM
52951,"Pel, David",Netherlands,NLD,PEL
405977,"Schoolkate, Tristan",Australia,AUS,SCH
39712,"Saville, Luke",Australia,AUS,SAV
243522,"Paul, Jakub",Switzerland,CHE,PAU
122368,"Griekspoor, Tallon",Netherlands,NLD,GRI
838776,"Tracy, James",USA,USA,TRA
78387,"Hach Verdugo, Hans",Mexico,MEX,HAC
15809,"Martin, Fabrice",France,FRA,MAR
119140,"Ellis, Blake",Australia,AUS,ELL
548169,"Yuzuki, Takeru",Japan,JPN,YUZ
256001,"Ho, Ray",Chinese Taipei,TPE,RAY
52260,"Vega, David",Spain,ESP,VEG
110707,"Pichler, David",Austria,AUT,PIC
113889,"Liutarevich, Ivan",Neutral,No value,LIU
393598,"Cash, Robert",USA,USA,CAS
342826,"Trotter, James Kent",Japan,JPN,TRO
92845,"Goldhoff, George",USA,USA,GOL
98981,"Jecan, Mircea-Alexandru",Romania,ROU,JEC
216502,"Broom, Charles",Great Britain,GBR,BRO
96859,"Lock, Benjamin",Zimbabwe,ZWE,LOC
195458,"Added, Dan",France,FRA,ADD
450383,"Harper, Cleeve",Canada,CAN,HAR
145008,"Uesugi, Kaito",Japan,JPN,UES
112061,"Walkow, Szymon",Poland,POL,WAL
95923,"Paris, Joshua",Great Britain,GBR,PAR
297502,"Bayldon, Blake",Australia,AUS,BAY
122366,"Tsitsipas, Stefanos",Greece,GRC,TSI
15275,"Matsui, Toshihide",Japan,JPN,MAT
240880,"Hilderbrand, Trey",USA,USA,HIL
136042,"Fritz, Taylor",USA,USA,FRI
124708,"Cukierman, Daniel",Israel,ISR,CUK
218344,"Lawson, Alex",USA,USA,LAW
204495,"Vocel, Matej",Czechia,CZE,VOC
43319,"Duran, Guillermo",Argentina,ARG,DUR
297448,"Kiger, Mac",USA,USA,KIG
84301,"Reese, Hunter",USA,USA,REE
250231,"Shimizu, Yuta",Japan,JPN,SHI
390480,"Watanabe, Seita",Japan,JPN,WAT
55745,"Negritu, Christoph",Germany,DEU,NEG
64920,"Myneni, Saketh",India,IND,MYN
628218,"Karol, Milos",Slovakia,SVK,KAR
50148,"Puttergill, Calum",Australia,AUS,PUT
72420,"Merino, Alexander",Peru,PER,MER
359602,"Musetti, Lorenzo",Italy,ITA,MUS
59700,"Isaro, Pruchya",Thailand,THA,ISA
141882,"Blancaneaux, Geoffrey",France,FRA,BLA
58989,"Sabanov, Matej",Serbia,SRB,SAB
55293,"Sabanov, Ivan",Serbia,SRB,SAB
84671,"Britto, Luis",Brazil,BRA,BRI
380004,"Harper, Patrick",Australia,AUS,HAR
671637,"Fils, Arthur",France,FRA,FIL
227358,"Walton, Adam",Australia,AUS,WAL
102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN
155860,"Lock, Courtney John",Zimbabwe,ZWE,LOC
25021,"Cervantes Huegun, Inigo",Spain,ESP,CER
221556,"Alves, Mateus",Brazil,BRA,ALV
108767,"Hassan, Benjamin",Lebanon,LBN,HAS
422955,"Sanchez, Luca",France,FRA,SAN
106395,"Ricca, Giorgio",Italy,ITA,RIC
263865,"Reynolds, Finn",New Zealand,NZL,REY
96629,"Duncan, Scott",Great Britain,GBR,DUN
82579,"Uchida, Kaichi",Japan,JPN,UCH
193930,"Sigouin, Benjamin",Canada,CAN,SIG
100069,"Sachko, Vitaliy",Ukraine,UKR,SAC
206879,"Eubanks, Christopher",USA,USA,EUB
89632,"Jarry, Nicolas",Chile,CHL,JAR
257721,"Baez, Sebastian",Argentina,ARG,BAE
169496,"Etcheverry, Tomas Martin",Argentina,ARG,ETC
530317,"Rincon, Daniel",Spain,ESP,RIN
163438,"Sun, Fajing",China,CHN,SUN
539343,"Kym, Jerome",Switzerland,CHE,KYM
284801,"Boyer, Tristan",USA,USA,BOY
280601,"Oberleitner, Neil",Austria,AUT,OBE
124930,"Safiullin, Roman",Neutral,No value,SAF
145108,"Bertola, Remy",Switzerland,CHE,BER
880089,"Pereira, Tiago",Portugal,PRT,PER
121122,"Freund, Simon",Sweden,SWE,FRE
99043,"Wang, Aoran",China,CHN,WAN
161448,"Jones, Ben",Great Britain,GBR,JON
168420,"Andrade, Andres",Ecuador,ECU,AND
17359,"Oswald, Philipp",Austria,AUT,OSW
284805,"Nava, Emilio",USA,USA,NAV
534043,"Darderi, Luciano",Italy,ITA,DAR
99377,"Kestelboim, Mariano",Argentina,ARG,KES
82133,"Dellien, Murkel",Bolivia,BOL,DEV
295508,"Vrbensky, Michael",Czechia,CZE,VRB
53483,"Masur, Daniel",Germany,DEU,MAS
448357,"Spizzirri, Eliot",USA,USA,SPI
48225,"Dutra Da Silva, Daniel",Brazil,BRA,DUT
132834,"Barrios Vera, Marcelo Tomas",Chile,CHL,BAR
289021,"Charlton, Joshua",Australia,AUS,CHA
120956,"Alcantara, Francis Casey",Philippines,PHL,ALC
428657,"Shelbayh, Abdullah",Jordan,JOR,SHE
96535,"Virgili, Augusto",Italy,ITA,VIR
396126,"Barnat, Jiri",Czechia,CZE,BAR
163538,"Donski, Alexander",Bulgaria,BGR,DON
55787,"Olivo, Renzo",Argentina,ARG,OLI
145112,"Huesler, Marc-Andrea",Switzerland,CHE,HUE
185434,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD
395828,"Saraiva Dos Santos, Paulo Andre",Brazil,BRA,SAR
49548,"Manafov, Vladyslav",Ukraine,UKR,MAN
85877,"Villanueva, Gonzalo",Argentina,ARG,VIL
496346,"Stricker, Dominic",Switzerland,CHE,STR
77223,"Martinez, Pedro",Spain,ESP,MAR
161868,"Huertas Del Pino, Connor",Peru,PER,HUE
303808,"Nijboer, Ryan",Netherlands,NLD,NIJ
348308,"Sheehy, Joshua",USA,USA,SHE
49663,"Escoffier, Antoine",France,FRA,ESC
51974,"Daniell, Marcus",New Zealand,NZL,DAN
77501,"Wehnelt, Kai",Germany,DEU,WEH
106755,"Rublev, Andrey",Neutral,No value,RUB
682913,"Rocha, Henrique",Portugal,PRT,ROC
853643,"Romano, Filippo",Italy,ITA,ROM
79223,"Delaney, Jake",Australia,AUS,DEL
99587,"Chung, Yun Seong",Republic of Korea,KOR,CHU
352776,"Draper, Jack",Great Britain,GBR,DRA
399637,"Cobolli, Flavio",Italy,ITA,COB
125006,"Borges, Nuno",Portugal,PRT,BOR
255595,"Cerundolo, Francisco",Argentina,ARG,CER
552469,"Agafonov, Egor",Neutral,No value,AGA
686709,"Simakin, Ilia",Neutral,No value,SIM
161220,"Pavel, Bogdan",Romania,ROU,PAV
310972,"Banthia, Siddhant",India,IND,BAN
379924,"Whiting, Tennyson",USA,USA,WHI
51304,"Stevenson, Kelsey",Canada,CAN,STE
212004,"Rodionov, Jurij",Austria,AUT,ROD
40540,"Cacic, Nikola",Serbia,SRB,CAC
145122,"Martineau, Matteo",France,FRA,MAR
88992,"Muller, Alexandre",France,FRA,MUL
156664,"TE, Rigele",China,CHN,RIG
450283,"Mpetshi Perricard, Giovanni",France,FRA,MPE
169492,"Aboian, Leonardo",Argentina,ARG,ABO
196672,"Davis, James",Great Britain,GBR,DAV
412829,"Matsuda, Ryuki",Japan,JPN,MAT
398360,"Urrea, Andres",Colombia,COL,URR
44553,"Herbert, Pierre-Hugues",France,FRA,HER
154740,"Delaney, Jesse",Australia,AUS,DEL
927343,"Cadenasso, Gianluca",Italy,ITA,CAD
233144,"Duda, Filip",Czechia,CZE,DUD
67154,"Barrere, Gregoire",France,FRA,BAR
392066,"Navone, Mariano",Argentina,ARG,NAV
217192,"Ouakaa, Aziz",Tunisia,TUN,OUA
130436,"Habib, Hady",Lebanon,LBN,HAB
498580,"Aboian, Valerio",Argentina,ARG,ABO
94485,"Bonzi, Benjamin",France,FRA,BON
682911,"Faria, Jaime",Portugal,PRT,FAR
305558,"Roncadelli, Franco",Uruguay,URY,RON
322589,"Pujol Navarro, Bruno",Spain,ESP,PUJ
167370,"Ruusuvuori, Emil",Finland,FIN,RUU
104847,"Sonego, Lorenzo",Italy,ITA,SON
759900,"Lanik, Tomas",Slovakia,SVK,LAN
180104,"Reymond, Arthur",France,FRA,REY
308834,"Schachter, Noah",USA,USA,SCH
49417,"Tu, Li",Australia,AUS,TUL
170964,"Bittoun Kouzmine, Constantin",France,FRA,BIT
154490,"Pearson, Kody",Australia,AUS,PEA
93597,"Pellegrino, Andrea",Italy,ITA,PEL
154570,"Orlov, Vladyslav",Ukraine,UKR,ORL
723013,"Pokorny, Lukas",Slovakia,SVK,POK
38180,"Mena, Facundo",Argentina,ARG,MEN
121248,"Roveri Sidney, Gabriel",Brazil,BRA,ROV
57703,"Pouille, Lucas",France,FRA,POU
15931,"Brown, Dustin",Jamaica,JAM,BRO
51141,"Carballes Baena, Roberto",Spain,ESP,CAR
50360,"Margaroli, Luca",Switzerland,CHE,MAR
126402,"Denolly, Corentin",France,FRA,DEN
126622,Ruehl. Tim,Germany,DEU,RUE
645442,"Genov, Anthony",Bulgaria,BGR,GEN
103625,"Geerts, Michael",Belgium,BEL,GEE
603098,"Fery, Arthur",Great Britain,GBR,FER
774476,"Debru, Gabriel",France,FRA,DEB
226124,"Holmgren, August",Denmark,DNK,HOL
52276,"Krueger, Mitchell",USA,USA,KRU
220588,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU
22962,"Jebavy, Roman",Czechia,CZE,JEB
205767,"Cretu, Cezar (2001)",Romania,ROU,CRE
251091,"Noguchi, Rio",Japan,JPN,NOG
645452,"Nesterov, Pyotr",Bulgaria,BGR,NES
767058,"Lobanov, Aleksandr",Neutral,No value,LOB
113905,"Moreno de Alboran, Nicolas",USA,USA,MAN
731833,"Kielan, Szymon",Poland,POL,KIE
163540,"Hermans, Mats",Netherlands,NLD,HER
126356,"Munar, Jaume",Spain,ESP,MUN
312436,"Hudd, Emile",Great Britain,GBR,HUD
452787,"Kumar, Pranav",USA,USA,KUM
437734,"Shin, Woobin",Republic of Korea,KOR,SHI
458575,"Agostini, Simone",Italy,ITA,AGO
223788,"Stepanov, Roy",Israel,ISR,STE
614090,"Pieczonka, Filip",Poland,POL,PIE
130442,"Rai, Ajeet",New Zealand,NZL,RAI
124934,"Lomakin, Grigoriy",Kazakhstan,KAZ,LOM
17046,"Statham, Rubin",New Zealand,NZL,STA
60614,"Poljak, David",Czechia,CZE,POL
132558,"Kolar, Zdenek",Czechia,CZE,KOL
207777,"Imamura, Masamichi",Japan,JPN,IMA
286367,"Krutykh, Oleksii",Ukraine,UKR,KRU
681071,"Ganta, Sai Karteek Reddy",India,IND,GAN
118166,"Bakshi, Aleksandre",Georgia,GEO,BAK
244388,"Kalyanpur, Adil",India,IND,KAL
121668,"Meligeni Alves, Felipe",Brazil,BRA,MEL
39726,"Kubler, Jason",Australia,AUS,KUB
429603,"Rune, Holger",Denmark,DNK,RUN
163504,"Medvedev, Daniil",Neutral,No value,MED
225050,"Sinner, Jannik",Italy,ITA,SIN
83397,"Ofner, Sebastian",Austria,AUT,OFN
116616,"Clarke, Jay",Great Britain,GBR,CLA
202735,"Carou, Ignacio",Uruguay,URY,CAR
655845,"Quinn, Ethan",USA,USA,QUI
381022,"Wendelken, Harry",Great Britain,GBR,WEN
671229,"Winter, Edward",Australia,AUS,WIN
263857,"De Krom, Michiel",Netherlands,NLD,DE
138712,"Oradini, Giovanni",Italy,ITA,ORA
193912,"Dev, S D Prajwal",India,IND,DEV
407791,"Mackinlay, James",Great Britain,GBR,MAC
65576,"Sakamoto, Pedro",Brazil,BRA,SAK
855911,"Hrazdil, Jan",Czechia,CZE,HRA
90798,"Halys, Quentin",France,FRA,HAL
58369,"Bolt, Alex",Australia,AUS,BOL
111609,"Barroso Campos, Alberto",Spain,ESP,BAR
679701,"Gueymard Wayenburg, Sascha",France,FRA,GUE
220590,"Huang, Tsung-Hao",Chinese Taipei,TPE,HUA
280559,"Catini, Niccolo",Italy,ITA,CAT
505542,"Grevelius, Erik",Sweden,SWE,GRE
51100,"Roca Batalla, Oriol",Spain,ESP,ROC
54903,"Karlovskiy, Evgeny",Neutral,No value,KAR
309954,"Droguet, Titouan",France,FRA,DRO
750283,"Isomura, Kokoro",Japan,JPN,ISO
620338,"Sharipov, Marat",Neutral,No value,SHA
16852,"Uzhylovskyi, Volodoymyr",Ukraine,UKR,UZV
739643,"Loof, Thijmen",Netherlands,NLD,LOO
947875,"Zhou, Yi",China,CHN,ZHO
437794,"Heinonen, Adam",Sweden,SWE,HEI
452691,"Araujo, Pedro",Portugal,PRT,ARA
240264,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI
497320,"Visker, Niels",Netherlands,NLD,VIS
385204,"Verbin, Pavel",Neutral,No value,VER
214824,"Aguilar, Juan Carlos",Canada,CAN,AGU
215696,"Schell, Niklas",Germany,DEU,SCH
973963,"Watt, James",New Zealand,NZL,WAT
194668,"Wenger, Damien",Switzerland,CHE,WEN
95939,"Whitehouse, Mark",Great Britain,GBR,WHI
79227,"Sinclair, Colin",Northern Mariana Islands,MNP,SIN
43761,"Collarini, Andrea",Argentina,ARG,COL
976405,"Taguchi, Ryotaro",Japan,JPN,TAG
182086,"Bass, Finn",Great Britain,GBR,BAS
378220,"Huertas Del Pino Cordova, Arklon",Peru,PER,HUE
215492,"Cui, Jie",China,CHN,CUI
48281,"Rungkat, Christopher",Indonesia,IDN,RUN
240876,"Crawford, Oliver",Great Britain,GBR,CRA
156826,"van Wyk, Kris",South Africa,ZAF,VAN
57021,"Kovalik, Jozef",Slovakia,SVK,KOV
298118,"Summers, Matthew",Great Britain,GBR,SUM
64790,"Kalovelonis, Markos",Greece,GRC,KAL
208123,"Maginley, Jody",Antigua and Barbuda,ATG,MAG
763108,"Mensik, Jakub",Czechia,CZE,MEN
339377,"Lehecka, Jiri",Czechia,CZE,LEH
294300,"Nakashima, Brandon",USA,USA,NAK
185388,"Humbert, Ugo",France,FRA,HUM
287543,"Hulme, Matt",Australia,AUS,HUL
785974,"La Serna, Juan Manuel",Argentina,ARG,LA
272245,"Latinovic, Stefan",Serbia,SRB,LAT
205773,"Sanchez Jover, Carlos",Spain,ESP,SAN
435758,"Vanshelboim, Eric",Ukraine,UKR,VAN
229024,"Zahraj, Patrick",Germany,DEU,ZAH
93589,"Kellovsky, Dominik",Czechia,CZE,KEL
63606,"Rinderknech, Arthur",France,FRA,RIN
65606,"Agamenone, Franco",Italy,ITA,AGA
644676,"Milev, Yanaki",Bulgaria,BGR,MIL
138528,"Mejia, Nicolas",Colombia,COL,MEJ
76251,"Bobrov, Bogdan",Neutral,No value,BOB
359608,"Maestrelli, Francesco",Italy,ITA,MAE
16781,"Sharan, Divij",India,IND,SHA
321667,"Mayot, Harold",France,FRA,MAY
50901,"Popko, Dmitry",Kazakhstan,KAZ,POP
307112,"Erel, Yanki",Turkiye,TUR,ERE
439474,"Jermar, Jan",Czechia,CZE,JER
873679,"Bondioli, Federico",Italy,ITA,BON
405969,"Paulson, Andrew",Czechia,CZE,PAU
63642,"Kwiatkowski, Thai-Son",USA,USA,KWI
833418,"Del Pino, Mateo",Argentina,ARG,DEL
57759,"Oliveira, Gonzalo",Venezuela,VEN,OLI
564952,"Kusuhara, Yusuke",Japan,JPN,KUS
215778,"Izquierdo Luque, Rafael",Spain,ESP,IZQ
202681,"Marrero Curbelo, Ivan",Spain,ESP,MAR
119126,"Taylor, Adam (1991)",Australia,AUS,TAY
163636,"Klein, Lukas",Slovakia,SVK,KLE
119248,"Ruud, Casper",Norway,NOR,RUU
124656,"Vukic, Aleksandar",Australia,AUS,VUK
54573,"Coria, Federico",Argentina,ARG,COR
161262,"Seyboth Wild, Thiago",Brazil,BRA,SEY
144102,"Weis, Alexander",Italy,ITA,WEI
345060,"Kingsley, Cannon",USA,USA,KIN
951223,"Sanchez Quilez, Alejo",Spain,ESP,SAN
65992,"Paz, Juan Pablo",Argentina,ARG,PAZ
242556,"McHugh, Aidan",Great Britain,GBR,MCH
524256,"Beckley, Alec",South Africa,ZAF,BEC
565070,"Monday, Johannus",Great Britain,GBR,MON
418163,"Perfetti, Noah",Italy,ITA,PER
210502,"Kopp, Sandro",Austria,AUT,KOP
96239,"Durasovic, Viktor",Norway,NOR,DUR
210592,"Ribeiro, Eduardo",Brazil,BRA,RIB
54975,"Casanova, Hernan",Argentina,ARG,CAS
177686,"Barranco Cosano, Javier",Spain,ESP,BAR
186629,"Kirkin, Ergi",Turkiye,TUR,KIR
199196,"Sanchez Izquierdo, Nikolas",Spain,ESP,SAI
282183,"Rottoli, Lorenzo",Italy,ITA,ROT
104967,"Brouwer, Gijs",Netherlands,NLD,BRO
58783,"Song, Min-Kyu",Republic of Korea,KOR,SON
213170,"Blanchet, Ugo",France,FRA,BLA
15743,"Istomin, Denis",Uzbekistan,UZB,IST
180446,"Wessels, Louis",Germany,DEU,WES
301896,"Ovcharenko, Oleksandr",Ukraine,UKR,OVC
60592,"Lee, Jeamoon",Republic of Korea,KOR,LEE
111837,"Harris, Billy",Great Britain,GBR,HAR
152898,"Gengel, Marek",Czechia,CZE,GEN
373348,"Pucinelli de Almeida, Matheus",Brazil,BRA,PDA
114885,"Nikles, Johan",Switzerland,CHE,NIK
252233,"Tang, Sheng",China,CHN,TAN
137890,"Vale, Duarte",Portugal,PRT,VAL
978579,"Ghazouani Durand, Yanis",France,FRA,GHA
71280,"Kokkinakis, Thanasi",Australia,AUS,KOK
287541,"Sweeny, Dane",Australia,AUS,SWE
684577,"Muller, Rik",Netherlands,NLD,MUL
283759,"Chidekh, Clement",France,FRA,CHI
938667,"Schwaerzler, Joel",Austria,AUT,SCH
165234,"Vasa, Eero",Finland,FIN,VAS
447733,"Hands, Tom",Great Britain,GBR,HAN
256375,"Jeong, Yeongseok",Republic of Korea,KOR,JEO
387066,"Forejtek, Jonas",Czechia,CZE,FOR
570833,"Rodriguez Rodriguez, Johan Alexander",Colombia,COL,ROD
501410,"Hignett, Liam",Great Britain,GBR,HIG
246745,"Tajima, Naoki",Japan,JPN,TAJ
759758,"Sakellaridis, Dimitris",Greece,GRC,SAK
56361,"Sels, Jelle",Netherlands,NLD,SEL
130438,"Ponwith, Nathan",USA,USA,PON
57327,"Domingues, Joao",Portugal,PRT,DOM
100317,"Turker, Mert Naci",Turkiye,TUR,TUR
404753,"Saritas, Gokberk",Turkiye,TUR,SAR
269523,"Bax, Florent",France,FRA,BAX
997473,"Bernet, Henry",Switzerland,CHE,BER
107625,"Janvier, Maxime",France,FRA,JAN
686911,"Poljicak, Mili",Croatia,HRV,POL
217038,"Seeman, Johannes",Estonia,EST,SEE
322729,"Bueno Gil, Alvaro",Spain,ESP,BUE
220932,"Shin, Sanhui",Republic of Korea,KOR,SHI
403357,"Thayne, Wally",USA,USA,THA
418167,"Garcian, Axel",France,FRA,GAR
92667,"Castelnuovo, Luca",Switzerland,CHE,CAS
120926,"Libietis, Mikelis",Latvia,LVA,LIB
101157,"Rybakov, Alex",USA,USA,RYB
990785,"Zheng, Zhan",China,CHN,ZHE
327067,"Beloborodko, Illya",Ukraine,UKR,BI
62488,"Harris, Andrew",Australia,AUS,HAR
112987,"Handel, Tim",Germany,DEU,HAN
269535,"Potenza, Luca",Italy,ITA,POT
161874,"Corwin, Felix",USA,USA,COR
867575,"Massard, Loann",France,FRA,MAS
181384,"Sinha, Nitin Kumar",India,IND,SIN
113859,"Bellier, Antoine",Switzerland,CHE,BEL
268725,"Ramskogler, Gregor",Austria,AUT,RAM
609146,"Okonkwo, Oliver",Great Britain,GBR,OKO
120958,"Bertran, Peter",Dominican Republic,DOM,BER
373852,"Zink, Tyler",USA,USA,ZIN
801374,"Gea, Arthur",France,FRA,GEA
294248,"Hellum Lilleengen, Lukas",Norway,NOR,HEL
72376,"Siniakova, Katerina",Czechia,CZE,SIN
74949,"Routliffe, Erin",New Zealand,NZL,ROU
43860,"Dabrowski, Gabriela",Canada,CAN,DAB
51387,"Townsend, Taylor",USA,USA,TOW
41520,"Kichenok, Lyudmyla",Ukraine,UKR,KIC
18936,"Hsieh, Su-Wei",Chinese Taipei,TPE,HSI
64496,"Ostapenko, Jelena",Latvia,LVA,OST
78551,"Mertens, Elise",Belgium,BEL,MER
19202,"Errani, Sara",Italy,ITA,ERR
69208,"Paolini, Jasmine",Italy,ITA,PAO
64021,"Krawczyk, Desirae",USA,USA,KRA
46084,"Melichar-Martinez, Nicole",USA,USA,MEL
119670,"Perez, Ellen",Australia,AUS,PER
123824,"Dolehide, Caroline",USA,USA,DOL
19932,"Muhammad, Asia",USA,USA,MUH
48625,"Chan, Hao-Ching",Chinese Taipei,TPE,CHA
